,Unnamed: 0,video_id,comment,pol_textblob,pol_nlpWarriers,pol_human
99903,99903,2eAuJIGlp9I,How is the NFL thing still news? MASSIVE fucking distraction from anything important. The fact that people in the US are protesting isn't fucking news. The 1st Amendment makes that a clear case. Not a fucking issue you goddamn morons.,0,0,0
60285,60285,1kHmFjHzR-s,"Love love love. You are 3 very inspirational women and I only expected it to be a buy it now video. Loved the natural setting, honest Q&A and the human touch. Could have listened to you all for much longer. Although I'm the same age I still have no idea about makeup and having a disability means most days makeup is the last thing on my mind - I desperately want that to change after watching this and want it all. Fab x x x",4,4,4
42602,42602,Z-LmHjkN2EU,I hate YouTube,0,0,0
49695,49695,L6QAx5mqFKU,"I��love chocolate smoothies with froz very ripe bananas, almond milk, cocoa powder, peanut butter, oatmeal, and a bit of coconut sugar, and sometimes i add froz strawberries. Try it, seriously good stuff.",4,4,4
13055,13055,TdH_NL35Nbw,"To be ready for God's arrival. Don't forget to sing in your head or aloud holy water in God's hands song angel showed me, cup hands in water   so that it baptises you in the holy spirit. Holy is longated 3 counts. Shows physical and spiritual commitment to God reborn to walk in his way of obedience to his Law, his commandments and daily repentance! children also _��_John 3:1-21\nHe that saith, I know him, and keepeth not his commandments, is a liar, and the truth is not in him.\n1John 2:4\n\nreference Matthew 24\nreference revelations\nreference 2017 rapture Dreams YouTube",4,4,2
37529,37529,LBLGo2y_BBU,Why are u so perfect,4,4,4
7814,7814,wfZGngrCpys,"First thought of title, a video game?!?!",0,0,0
68742,68742,1QWLyi03twg,Christ it is horrible. Could've just kept it shelved.,0,0,0
36190,36190,YKgY0zQnqcU,i havnt seen him on ATLANTA but i did while he was on community and that stuff was great. hes come a long way since troy and abed in the morning,4,4,2
93201,93201,DyTlOIa6RLo,The daughters are beautiful! _��_��,4,4,4
19037,19037,uNseVux0CA4,Creepy clowns are my life tbfh,0,0,0
50370,50370,ceLV1v3mV4E,"Hi Emmy ! \n\nI'm so happy you made akutaq ! Expert ! Haha I'm alaska native myself. My favorite akutaq is made with crisco, rice and cranberries n.n But you can imagine the cranberries from the tundra are a lot smaller and more sour than those in the store. \n\nThanks for the video, Emmy!",4,4,4
23926,23926,p_P9J97ELlg,I am so ready for Halloween and your videos!! I love this beautiful fall look. Not sure about fenty foundation but loving the new friends peach _ٍ� palette.,4,4,4
30099,30099,dYstFRuPz8A,What is it about this show am a I missing somthing,0,0,0
17344,17344,EuvVOA8uvsc,"I think half the views might be mine, im ADDICTED",0,0,4
79172,79172,FNh2ZsQkNus,This made me cry. It was awesome!,4,4,4
104143,104143,BNJUsE7pEs4,"WWWOOOWWW \nEveryone, please watch my little nature videos. There is no talking in them. Shhh!",0,0,0
26840,26840,Zya-JNMJ62k,He probably thinks hes funny,4,4,0
112785,112785,zyPIdeF4NFI,There are certain things about me I spoken of in the past to no validity....I'm reclusing to some of my other dormant traits....play time is over.,0,0,0
110871,110871,o7H7xdjGnCc,Make a sexy one,4,4,4
38135,38135,lno7AN8hLvQ,"I just discovered this, and despite the very *very* strange topics going on in here, this makes me the happiest person ever.",0,0,2
68051,68051,o4os5TXo6Vk,This just spoke to my soul! Amazing!!!!,4,4,4
113445,113445,5Wiio4KoGe8,Loving this MUSIC <3,4,4,4
24601,24601,a41k9oJN0FI,I cannot stand horror but feel like I'm missing out on so many great films because of it (eg IT). Glad to hear that this isn't entirely horror/haunted house and theres more depth. It's releasing on October 13th here in India..because Friday the 13th -_- Can't wait though!,4,4,4
86493,86493,a6V-fKcW5YI,This woman needs a mental hospital.  Period.,0,0,0
41209,41209,z5eG8fD-hQw,Jemele hill is an ugly cunt.,0,0,0
102019,102019,pyb7UqbdYTs,LOVE IT��_,4,4,4
21774,21774,ZCQuasiJgYM,Does it has only face id to unlock the device or are there any other traditional way like PIN or pattern?,0,0,0
60410,60410,HpHp1Xp5oDo,"Good googily moogily, Max's Hulk pitch sounds amazing. Like a weird blend of Eternal Sunshine of the Spotless Mind and 2014's Godzilla.",4,4,4
24096,24096,RJuqdTXhDX4,Wow 2nd in trending good job,4,4,4
63492,63492,iL_-GwbEP4g,I love this.,4,4,4
83512,83512,mGibr5Uy04w,"Olan! Funny and amazing content as always! Glad to have you back, but you gotta lay off the carbs dude.",4,4,4
110695,110695,88IdVnUESJw,"Trump switched it up on people, people never knew he was That guy until he got in office. I on the other hand always suspected it.",0,0,0
96438,96438,88IdVnUESJw,50 cent is a don in life...he has a great mind.,4,4,4
60876,60876,kIssu4XLg00,I listen to your podcast so much I remember parts of some of them by heart and it's sad,0,0,4
84722,84722,YmnxIsRn5nw,You always make me smile! Love your personality!,4,4,4
86395,86395,JU21shbaVBo,13:41 My great uncle Sheb Wooley did that scream. Always makes me happy to still hear it being talked about.,4,4,4
44098,44098,FPRTN_r9IyM,"That is an awfully long narrow landslide. I wonder why it doesn't spread out or how it could be going at such a constant speed... \nEveryone, please watch my tiny nature videos. There is no talking in them. Shhh!",0,0,0
43297,43297,9dobJDxPEzM,Billie can mess with herself bec billie will set fire to billie,0,0,0
24782,24782,30QPEkhcYeQ,Ugly illuminati fat arsed spunk bucket nikki minge,0,0,0
27715,27715,IYvEhgYy35I,such a good remix,4,4,4
44922,44922,t4or1t4iHK0,"1:04 I just noticed that Gal Gadot has a convex facial profile that makes her look like she suffers from microcephaly (has a pinhead). Totally ruins all my fantasies. Looks like I'll have to go back to fapping to Keri Russell and Ana de Armas again. Thanks a lot, Conan.",0,0,0
80045,80045,65fZOBR0pmM,I love it. Do Tamar_�Ӵ,4,4,4
78635,78635,#NAME?,Love you guys,4,4,4
12995,12995,DdA7tUIzA5Q,I love this song!!!!������������,4,4,4
59250,59250,lLAmL6Tz59Y,They did not invite you cos they are scared of your sarcastic comments on their mediocre hardware and lack of headphone jack.,0,0,0
101758,101758,TO5cYWd12lQ,good video,4,4,4
21270,21270,1L7JFN7tQLs,"Unfortunately all it has is content consumption crap, snapchat masks, emojicons.. nothing at all in the Keynote about productivity features.\nIts not a phone for content creators and professionals to us, its for people taking pics of themself doing yoga on instagram. The Keynote did not show us a single feature that is useful for professional content creators, The iPhone 5s is the only iPhone hich i can use to take macro images of my 3 x 2 centimeter products. The dual lenses on the new iPhones cant take closeups of small objects, because the telephoto lens starts fighting with the digital zoom lens, and get very blurry pics - i know i have an iPhone 7 Plus and its crap camera for professional product photography, and only good for selfies. In addition, the dedicated camera shutter buttons (volume keys) when try to use on top right of phone, show the camera lens on the bottom of the phone in landscape, which is upside down\nvolume buttons end up with your other finger on the off button and locks screen when trying to raise or lower volume. bad design",0,0,0
26875,26875,YrTKLZi6rqk,"This was amazing, as always. I love trying to recreate your looks with cheaper stuff but I might be buying some body paint soon and I'm very excited!",4,4,4
24454,24454,368_ovPsJk8,"Hey Abarham, glad to see you got your own movie 10 years after Hellboy 2",4,4,4
12168,12168,9YyB6sQ4iwA,Holy shit... I want it,0,0,4
3361,3361,_uLmn_Dba08,i love this video mathias,4,4,4
74211,74211,hbfxFdl8B8M,I usually always disagree with Rob but him and Charles are ARE ABSOLUTELY RIGHT.. This would be ridiculous in any other profession..,0,0,0
29682,29682,l_uNfGY3v8E,They hyped this storm up to be absolutely devastating when it hit Florida but it was no where near that...smh,0,0,0
24760,24760,30QPEkhcYeQ,I love Nicki but it doesn't change that she lip synces,4,4,2
97163,97163,LVPIM06bMJo,Wow! That trust with wild mammals is surprising. From reptiles... miraculous?,4,4,4
19391,19391,4X6a3G_0HjY,Don't treat her like that-- oh yeah but push that dude out of the way fucking creep rapist,0,0,0
